status,dataset,candidate,image_path,method,weight,second_order_ratio,minimum_weight,name,iterations,huber_delta,l2_change,max_abs_change,elapsed_seconds,second_order_weight,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm,guidance_kappa
PASS,s2,tgv_b0p003_r1,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage6/prescreen/tgv_b0p003_r1/recon.mhd,tgv,0.003,1.0,1.0,tgv_b0p003_r1,100,0.002,3.283851385116577,0.009895145893096924,1.5611646739998832,0.003,True,0.0,1.1498262882232666,1.013868808746338,0.016862738877534866,0.01386880874633789,0.0003510713577270508,0.024988191768784966,0.02049626696637647,0.02962620624701552,0.024709938575440675,0.0,0.0,0.0,99.88353046421277,100.0981700515792,0.21463958736643463,,,,,,,,
PASS,s4,tgv_b0p003_r1,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage6/prescreen/tgv_b0p003_r1/recon.mhd,tgv,0.003,1.0,1.0,tgv_b0p003_r1,100,0.002,3.9444525241851807,0.010239362716674805,1.5322682309997617,0.003,True,0.0,2.229860544204712,1.01383376121521,0.029637139290571213,,,,,,,,,,,,,2.0,0.04947276266165776,0.03058243729174137,0.01193192690754166,0.0186771247535944,,,
PASS,s5,tgv_b0p003_r1,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage6/prescreen/tgv_b0p003_r1/recon.mhd,tgv,0.003,1.0,1.0,tgv_b0p003_r1,100,0.002,3.730748176574707,0.01021277904510498,1.5381973189978453,0.003,True,0.0,2.1735939979553223,1.0138815641403198,0.024298354983329773,,,,,,,,,,,,,2.0,0.054321198394474274,0.02910153567790985,,,0.4948710493006449,1.053327892278466,
PASS,s2,tgv_b0p003_r2,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage6/prescreen/tgv_b0p003_r2/recon.mhd,tgv,0.003,2.0,1.0,tgv_b0p003_r2,100,0.002,3.7174201011657715,0.010040760040283203,1.9498310330018285,0.006,True,0.0,1.1489710807800293,1.0138686895370483,0.01653999276459217,0.01386868953704834,0.0003509521484375,0.024773449581421636,0.020233911168037896,0.029451364812175414,0.02449998765248705,0.0,0.0,0.0,99.88354647693481,100.09817183077054,0.21462535383572856,,,,,,,,
PASS,s4,tgv_b0p003_r2,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage6/prescreen/tgv_b0p003_r2/recon.mhd,tgv,0.003,2.0,1.0,tgv_b0p003_r2,100,0.002,4.100860595703125,0.010212182998657227,1.5328867770003853,0.006,True,0.0,2.229891061782837,1.0138336420059204,0.029456228017807007,,,,,,,,,,,,,2.0,0.049370124389936446,0.030459538102149963,0.011928504512000542,0.018668213859200478,,,
PASS,s5,tgv_b0p003_r2,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage6/prescreen/tgv_b0p003_r2/recon.mhd,tgv,0.003,2.0,1.0,tgv_b0p003_r2,100,0.002,3.9837558269500732,0.010215997695922852,1.559472511002241,0.006,True,0.0,2.1707258224487305,1.0138814449310303,0.024064719676971436,,,,,,,,,,,,,2.0,0.05422130528051942,0.028954582288861275,,,0.49460253232718576,1.0570547126287622,
PASS,s2,tgv_b0p006_r1,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage6/prescreen/tgv_b0p006_r1/recon.mhd,tgv,0.006,1.0,1.0,tgv_b0p006_r1,100,0.002,5.101797103881836,0.017815351486206055,1.6107153250013653,0.006,True,0.0,1.1466346979141235,1.013868808746338,0.016146453097462654,0.01386880874633789,0.0003510713577270508,0.024523650756775588,0.01992790725279366,0.02928050259149832,0.024297072213800733,0.0,0.0,0.0,99.88361370995727,100.09817930110637,0.21456559114909624,,,,,,,,
PASS,s4,tgv_b0p006_r1,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage6/prescreen/tgv_b0p006_r1/recon.mhd,tgv,0.006,1.0,1.0,tgv_b0p006_r1,100,0.002,6.183861255645752,0.020230233669281006,1.5347472989997186,0.006,True,0.0,2.229419469833374,1.0138335227966309,0.028920432552695274,,,,,,,,,,,,,2.0,0.04905342314382442,0.030067259445786476,0.011937611593076816,0.0186955276876688,,,
PASS,s5,tgv_b0p006_r1,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage6/prescreen/tgv_b0p006_r1/recon.mhd,tgv,0.006,1.0,1.0,tgv_b0p006_r1,100,0.002,5.813991546630859,0.020383179187774658,1.5386847859990667,0.006,True,0.0,2.173470973968506,1.0138815641403198,0.023581674322485924,,,,,,,,,,,,,2.0,0.05403405405042732,0.02862883172929287,,,0.4939552712870377,1.0334090312426862,
PASS,s2,tgv_b0p006_r2,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage6/prescreen/tgv_b0p006_r2/recon.mhd,tgv,0.006,2.0,1.0,tgv_b0p006_r2,100,0.002,6.342665195465088,0.018921732902526855,1.6441283309977734,0.012,True,0.0,1.1457717418670654,1.0138686895370483,0.015433677472174168,0.01386868953704834,0.0003509521484375,0.024062080048258043,0.01935710008649808,0.028899436873793816,0.023836583001450324,0.0,0.0,0.0,99.88368200779679,100.0981868897552,0.21450488195840478,,,,,,,,
PASS,s4,tgv_b0p006_r2,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage6/prescreen/tgv_b0p006_r2/recon.mhd,tgv,0.006,2.0,1.0,tgv_b0p006_r2,100,0.002,7.1442742347717285,0.02045905590057373,1.5345417089993134,0.012,True,0.0,2.2257630825042725,1.0138332843780518,0.028273290023207664,,,,,,,,,,,,,2.0,0.04868203598471715,0.029646342620253563,0.01193039219539899,0.01867562159895897,,,
PASS,s5,tgv_b0p006_r2,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage6/prescreen/tgv_b0p006_r2/recon.mhd,tgv,0.006,2.0,1.0,tgv_b0p006_r2,100,0.002,6.9156341552734375,0.020384132862091064,1.5626242719990842,0.012,True,0.0,2.170044183731079,1.0138814449310303,0.022884555160999298,,,,,,,,,,,,,2.0,0.05373721183577889,0.028205523267388344,,,0.4913968441969632,1.0255736837992873,
PASS,s2,tgv_b0p0125_r1,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage6/prescreen/tgv_b0p0125_r1/recon.mhd,tgv,0.0125,1.0,1.0,tgv_b0p0125_r1,100,0.002,8.112608909606934,0.027438700199127197,1.663552277997951,0.0125,True,0.0,1.1441771984100342,1.013868808746338,0.014967815019190311,0.01386880874633789,0.0003510713577270508,0.02379651470260847,0.01902705903892639,0.028785429800595747,0.023702862212195013,0.0,0.0,0.0,99.88367639130429,100.09818626570048,0.2145098743961853,,,,,,,,
PASS,s4,tgv_b0p0125_r1,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage6/prescreen/tgv_b0p0125_r1/recon.mhd,tgv,0.0125,1.0,1.0,tgv_b0p0125_r1,100,0.002,9.953396797180176,0.039159297943115234,1.5360113469978387,0.0125,True,0.0,2.224975824356079,1.0138332843780518,0.027493124827742577,,,,,,,,,,,,,2.0,0.048261930518199686,0.02908031828701496,0.011949764457173072,0.018705714493989944,,,
PASS,s5,tgv_b0p0125_r1,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage6/prescreen/tgv_b0p0125_r1/recon.mhd,tgv,0.0125,1.0,1.0,tgv_b0p0125_r1,100,0.002,9.390872955322266,0.0385516881942749,1.5485738050010696,0.0125,True,0.0,2.171851396560669,1.0138814449310303,0.02220488153398037,,,,,,,,,,,,,2.0,0.05356828009113558,0.02777010202407837,,,0.4900511612324051,1.0066734231459018,
PASS,s2,tgv_b0p0125_r2,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage6/prescreen/tgv_b0p0125_r2/recon.mhd,tgv,0.0125,2.0,1.0,tgv_b0p0125_r2,100,0.002,10.430744171142578,0.033232927322387695,1.6142699920019368,0.025,True,0.0,1.138706922531128,1.0138686895370483,0.013819814659655094,0.01386868953704834,0.0003509521484375,0.023086202754356897,0.018131170649655935,0.028179163513414058,0.022964130375796636,0.0,0.0,0.0,99.88394628715483,100.09821625412832,0.21426996697348955,,,,,,,,
